Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,25.0,NJN,NBA,PG,1,0,17:06,3,6,0.5,0,1,0.0,0,0,,1,1,0,0,0,0,0,6
Career,,,NBA,,1,0,17,3,6,0.5,0,1,0.0,0,0,,1,1,0,0,0,0,0,6
