"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Joey Dorsey,,1.9,0.8,0.1,0.0
Bill Bunting,92.9,2.0,0.7,0.0,
Ron Bonham,89.6,1.8,0.7,0.2,
Alfonzo McKinnie,89.2,2.1,0.8,0.2,0.1
Billy Schaeffer,87.9,1.9,0.8,0.5,
Brian Skinner,87.7,1.9,0.9,0.3,0.1
Kai Jones,86.0,2.1,0.7,0.0,
Chris McNealy,86.0,1.6,0.8,0.2,
Tellis Frank,84.7,2.0,0.6,0.3,0.1
BoÅ¡tjan Nachbar,84.1,1.7,0.8,0.1,-0.1
Ryan Kelly,83.9,2.2,0.7,0.1,0.1
