Season,Team,Lg,Salary
2022-23,New Orleans Pelicans,NBA,(TW)
2023-24,New Orleans Pelicans,NBA,"$1,801,769"
2024-25,Phoenix Suns,NBA,"$706,898"
2024-25,Chicago Bulls,NBA,(TW)
Career,(may be incomplete),,"$2,508,667"
