Season,Age,Team,Lg,Pos,G,GS,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2023-24,23,NOP,NBA,PF,1,0,3,4.2,0.0,39.3,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,-4.3,1.3,-3.1,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,3,4.2,0.0,39.3,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,-4.3,1.3,-3.1,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,246,4.2,0.0,39.3,18.1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.051,-4.3,1.3,-3.1,-0.1,
