"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jalen Smith,,4.0,2.9,2.8,2.3,0.1
Maurice Harkless,94.8,4.2,2.9,2.8,2.4,0.3
Tom McMillen,92.7,3.9,2.9,2.9,2.5,0.8
James Jones,89.6,4.0,3.7,2.5,2.2,0.0
Reggie Johnson,89.4,3.9,3.0,2.4,1.6,
Richard Washington,89.2,3.9,3.2,2.1,2.0,0.0
Frank Card,88.9,4.2,2.6,2.4,1.9,0.1
Jonathan Kuminga,87.3,4.6,3.0,2.4,1.9,
John Tresvant,87.0,4.1,3.5,3.3,2.7,0.1
Eddie Griffin,86.6,3.9,3.2,2.4,1.5,-0.2
Tom Abernethy,86.2,4.1,3.7,3.1,2.0,0.4
