"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('Unnamed: 12_level_0', 'Awards')"
2006-07,25,TOR,NBA,SF,3,0,11,1.0,1.136,133,210,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,11,1.0,1.136,133,210,
