"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Amar'e Stoudemire,,14.6,14.6,11.2,10.7,8.0,6.2,6.1,4.4,4.1,3.8,3.6,2.7,2.4,0.1,,,,
Grant Hill,86.6,14.6,11.7,10.7,10.2,7.3,6.6,5.9,5.5,5.4,5.3,5.1,4.4,2.5,1.7,1.6,1.2,0.3,-0.1
Elgin Baylor,85.5,14.8,14.4,11.5,9.8,8.5,8.0,7.9,7.8,7.2,6.2,4.9,2.6,0.5,0.0,,,,
Kevin Love,85.5,14.3,11.4,10.0,8.7,8.5,6.4,6.4,5.7,5.3,4.9,3.8,3.3,2.6,1.3,1.1,0.9,0.4,
Elton Brand,84.5,14.8,13.6,11.5,10.6,9.7,9.4,7.6,7.5,6.1,6.1,3.6,3.5,3.4,0.9,0.7,0.5,0.2,
Cliff Hagan,84.4,11.8,11.7,10.8,10.0,8.5,7.1,6.5,6.0,4.7,3.7,3.0,1.3,0.1,,,,,
Chris Mullin,83.3,12.2,10.8,10.6,10.2,7.6,7.1,5.2,5.1,4.9,4.7,4.1,4.0,2.9,1.7,1.7,0.3,,
Peja StojakoviÄ,82.4,13.5,10.1,10.1,9.9,8.1,8.0,7.3,4.8,3.8,2.7,1.7,1.6,0.9,,,,,
Shawn Kemp,81.8,11.7,11.2,10.6,10.0,9.1,6.8,6.7,6.3,6.1,4.0,2.1,2.0,1.9,0.9,,,,
Cedric Maxwell,81.7,12.2,11.7,11.0,9.1,6.6,6.4,5.4,5.4,4.6,4.2,2.0,,,,,,,
Vern Mikkelsen,81.7,13.2,12.0,10.9,9.2,8.9,6.6,6.5,6.1,5.4,4.5,,,,,,,,
