"('Thru 17 Years', 'Player')","('Thru 17 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
Thaddeus Young,,7.4,6.9,6.3,6.2,5.5,5.5,5.1,4.6,4.5,4.1,3.5,3.1,2.2,2.1,1.9,1.8,1.3
Eddie Johnson,92.9,7.4,6.5,5.6,5.6,5.5,5.3,4.8,4.3,4.0,3.9,3.0,2.4,2.2,1.8,1.8,1.6,-0.1
Robert Horry,90.9,6.9,6.6,5.9,5.7,4.9,4.8,4.6,4.6,4.2,3.6,3.6,2.9,2.9,2.6,1.7,1.1,
Marvin Williams,90.0,7.8,6.1,5.7,5.7,5.0,5.0,4.9,4.3,4.0,3.8,2.9,2.8,2.4,2.3,2.3,,
Trevor Ariza,88.5,8.0,6.6,6.1,6.0,5.4,5.3,3.4,3.4,3.2,3.1,2.5,2.5,2.2,2.1,1.8,1.6,0.9
Harrison Barnes,88.2,6.7,6.5,6.0,5.6,4.9,4.7,4.6,4.6,4.5,3.8,3.6,3.2,2.8,,,,
Nicolas Batum,88.2,7.9,6.6,5.8,5.2,5.0,5.0,4.8,4.6,3.7,3.7,3.7,3.6,3.5,3.5,3.5,3.3,0.6
Antonio McDyess,87.7,9.4,7.8,6.7,6.2,6.0,5.7,5.6,4.6,4.2,3.6,3.2,3.0,1.8,1.2,0.8,,
Antonio Davis,87.5,7.4,7.2,6.5,6.1,6.0,5.2,5.0,4.0,3.9,3.8,2.2,2.0,0.3,,,,
Kurt Thomas,87.2,8.2,6.5,5.4,5.2,5.2,5.0,4.5,4.1,3.8,3.3,3.2,2.9,2.5,2.1,1.1,0.5,-0.2
Maurice Lucas,87.0,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4.0,3.5,2.5,2.4,2.4,2.3,,,
