Season,Team,Lg,Salary
2005-06,Philadelphia 76ers,NBA,"$450,000"
2006-07,Philadelphia 76ers,NBA,"$664,209"
2007-08,Philadelphia 76ers,NBA,"$770,610"
2008-09,Philadelphia 76ers,NBA,"$4,500,000"
2009-10,Philadelphia 76ers,NBA,"$4,972,500"
2010-11,Philadelphia 76ers,NBA,"$5,000,000"
2011-12,Philadelphia 76ers,NBA,"$5,176,000"
2012-13,Atlanta Hawks,NBA,"$5,000,000"
2013-14,Atlanta Hawks,NBA,"$5,225,000"
2014-15,Toronto Raptors,NBA,"$5,450,000"
2015-16,Los Angeles Lakers,NBA,"$7,000,000"
2016-17,Houston Rockets,NBA,"$7,000,000"
2017-18,Los Angeles Clippers,NBA,"$7,000,000"
2018-19,Los Angeles Clippers,NBA,"$8,000,000"
2019-20,Los Angeles Clippers,NBA,"$8,000,000"
2020-21,Atlanta Hawks,NBA,"$8,000,000"
2021-22,Atlanta Hawks,NBA,"$5,000,000"
Career,(may be incomplete),,"$87,208,319"
