"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Landry Shamet,,3.6,2.6,2.6,1.8,1.2,1.0,0.3,,,
Quintin Dailey,89.7,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3,-0.3
Charles Johnson,89.1,3.7,2.8,2.4,1.4,1.1,1.0,0.9,,,
Trenton Hassell,86.6,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,
Lonzo Ball,86.4,3.2,2.4,2.2,2.0,1.6,1.2,,,,
Cameron Payne,85.2,3.6,2.4,2.3,1.9,1.4,1.1,0.8,0.5,0.5,-0.3
Brandon Rush,85.1,3.5,2.6,2.5,2.0,0.9,0.4,0.0,-0.3,-0.4,
Matisse Thybulle,84.5,3.7,2.8,2.3,2.2,2.1,0.9,,,,
Shake Milton,83.7,2.9,2.8,2.1,1.7,1.3,0.6,0.3,,,
Charlie Criss,82.6,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,,
Sam Vincent,82.1,3.3,2.4,2.3,1.1,0.9,0.5,0.3,,,
