"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Loren Woods,,1.1,0.7,0.5,0.4,0.4,0.1
Greg Foster,83.2,1.0,0.6,0.6,0.5,0.2,0.0
Luka Garza,81.3,1.1,0.8,0.7,0.4,,
Cartier Martin,76.7,1.3,0.8,0.7,0.7,0.4,0.1
Kessler Edwards,76.6,1.2,0.6,0.5,0.4,,
Chris Crawford,75.6,1.3,0.9,0.6,0.6,0.2,0.1
Ray Tolbert,74.3,1.1,0.8,0.7,0.3,0.0,
Josh Powell,73.4,1.1,0.7,0.6,0.3,0.0,-0.2
Eddie Lee Wilkins,73.4,0.8,0.8,0.5,0.3,0.3,-0.1
Bill Hosket,72.8,1.0,1.0,0.6,0.5,,
Maceo Baston,72.0,1.1,0.5,0.4,0.3,,
