"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Nickeil Alexander-Walker,,4.3,4.3,1.1,0.7,0.1,-0.2
Earl Boykins,86.1,4.1,3.5,1.0,0.8,0.3,-0.3
Kelenna Azubuike,85.4,4.1,3.4,1.2,0.7,-0.1,
Freeman Williams,84.6,4.1,4.0,1.8,0.4,-0.1,-0.2
Rick Mount,82.8,4.6,3.5,1.1,0.7,0.6,
Reggie Bullock,81.1,4.2,3.1,1.2,1.0,0.2,0.1
Erick Strickland,80.4,4.9,3.8,1.3,0.8,0.3,-0.9
Seth Curry,79.6,4.6,4.3,2.4,1.4,0.0,0.0
Craig Ehlo,79.3,4.6,3.1,1.2,0.5,0.2,0.0
Quentin Grimes,77.3,4.8,3.4,1.4,1.3,,
Bob Sura,76.5,5.2,4.9,1.6,0.7,0.4,0.1
