"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Wilson Chandler,,3.9,3.6,3.5,3.3,3.1,3.1,3.1,2.7,1.5,0.7,0.5,-0.1,
Dwight Jones,93.7,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,,,
Keith Erickson,86.2,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,
Lorenzen Wright,85.7,5.2,3.7,3.2,3.2,3.2,3.1,2.5,2.2,2.2,1.4,0.7,0.0,-0.1
Tom McMillen,85.3,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2.0,1.2,0.8,,
Vladimir RadmanoviÄ,85.2,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0.0,
Kelly Oubre Jr.,85.0,3.8,3.7,3.3,3.0,2.6,2.2,2.2,2.0,1.7,0.4,,,
Jonas Jerebko,84.7,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2.0,1.4,,,,
Trevor Booker,84.6,4.3,4.3,3.6,3.1,3.0,2.9,2.6,2.3,,,,,
John Tresvant,84.6,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1,,,,
Fred Roberts,84.1,4.2,3.9,3.5,3.0,2.6,2.2,2.0,1.9,1.8,0.6,0.4,0.2,0.0
