"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Eddie House,,4.9,3.9,2.2,1.9,1.8,1.6,1.1,0.9,0.7,0.7,0.4,,
Tony Delk,86.0,4.6,4.6,2.5,2.1,1.6,1.3,0.9,0.8,0.8,0.4,,,
Doug West,84.0,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1,
Frank Johnson,83.6,4.3,3.0,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,,,
John Battle,82.5,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2,,,
Keith Bogans,82.4,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0.0,,
Anthony Johnson,80.7,4.5,4.0,3.6,2.8,2.0,1.8,1.2,1.1,1.0,0.7,0.4,0.3,-0.2
Wayne Ellington,80.6,4.5,3.3,3.2,2.6,1.9,1.2,1.0,0.8,0.8,0.7,0.4,0.4,0.3
Keyon Dooling,80.4,3.7,3.7,2.9,2.1,1.5,1.4,1.1,0.7,0.6,0.3,0.3,0.2,0.0
Avery Bradley,79.9,4.8,3.1,2.5,2.4,1.8,1.5,1.2,0.4,0.3,-0.1,-0.2,-0.5,
Carlos Arroyo,79.7,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,,,,
