"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Yi Jianlian,,1.3,0.7,0.7,0.4,0.0
Jarell Martin,91.0,1.3,0.8,0.6,0.5,
Luka Garza,88.3,1.1,0.8,0.7,0.4,
Ray Tolbert,87.8,1.1,0.8,0.7,0.3,0.0
Kessler Edwards,85.0,1.2,0.6,0.5,0.4,
Steve Green,83.6,1.2,1.1,0.7,0.4,
Gary Clark,81.7,1.2,1.0,0.7,0.1,
Jordan Nwora,81.0,1.5,0.6,0.5,0.4,
Chris Johnson,80.3,1.4,1.1,0.8,0.2,
Julian Wright,78.5,1.7,0.8,0.8,0.6,
Ben McDonald,77.8,1.3,0.7,0.3,0.2,
