"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Tyler Herro,,7.4,3.8,3.5,2.0,1.7,1.6
Jalen Rose,91.4,7.3,3.8,3.3,2.9,2.1,1.8
Devin Booker,89.4,7.5,4.9,3.5,2.4,2.0,1.9
Miles Bridges,89.2,7.2,4.2,3.2,2.9,2.2,1.6
Aaron McKie,84.2,5.3,4.3,3.5,2.0,1.6,1.4
Bob Verga,83.7,8.2,3.8,3.3,2.8,1.5,0.1
Eric Snow,83.6,6.1,3.8,3.8,1.9,1.3,0.5
Johnny Dawkins,83.2,6.4,4.3,3.6,2.0,1.0,0.6
Gerald Henderson,83.2,5.3,3.7,3.6,2.3,1.7,1.3
George Senesky,83.1,6.2,4.4,3.6,2.6,2.3,2.0
Paul Walther,83.1,6.6,5.2,3.1,2.2,2.0,1.3
