"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Rodney White,,1.8,0.5,-0.2,-0.4
Usman Garuba,77.4,1.8,0.5,0.0,
Jim Holstein,74.0,1.8,0.6,0.2,-0.1
Red Morrison,72.3,1.7,0.5,0.0,
Ish Wainright,70.3,1.7,0.6,0.0,
John Fairchild,69.7,1.7,0.7,0.0,-0.6
Dominic McGuire,69.4,1.7,0.9,0.0,-0.2
Dick Gibbs,67.8,2.1,0.4,-0.1,-0.6
BoÅ¡tjan Nachbar,66.6,1.7,0.8,0.1,-0.1
Ron Bonham,64.7,1.8,0.7,0.2,
Jayson Williams,63.6,1.8,0.2,0.1,-0.3
