"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Aaron Gray,,1.4,1.3,1.1,0.9,0.8,0.5,0.1
John Lambert,83.0,1.8,1.5,1.0,0.9,0.7,0.6,0.4
Eric Leckner,81.9,1.7,1.5,0.9,0.9,0.9,0.2,0.2
Ryan Hollins,76.7,1.8,1.7,1.2,1.1,1.0,0.2,0.2
Jahlil Okafor,75.1,2.2,1.3,1.2,1.2,0.6,0.6,0.0
Jelani McCoy,72.4,1.5,1.4,1.1,1.0,0.1,0.0,0.0
Johan Petro,70.0,1.7,1.0,0.8,0.7,0.4,0.4,0.2
Walt Davis,69.8,1.6,0.9,0.9,0.8,0.6,,
Charles Shackleford,66.4,2.7,1.5,0.9,0.8,0.8,0.7,
Dick Cunningham,65.2,1.2,1.0,1.0,1.0,0.0,0.0,0.0
Calvin Booth,63.7,2.2,2.1,1.0,0.8,0.5,0.4,0.1
