"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Bobby Portis,,5.5,5.3,4.8,4.7,3.5,2.7,2.4,1.9,1.6,1.5,,,
Walt Williams,93.2,5.4,5.1,5.1,4.4,3.7,3.0,2.5,2.2,1.7,1.6,-0.7,,
Willie Naulls,92.4,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4,,,
Dave Gambee,91.5,7.0,5.3,5.0,4.6,3.3,2.7,2.2,1.9,1.6,1.4,0.8,0.0,
Larry Nance Jr.,90.5,5.8,4.9,4.9,4.1,3.9,3.5,2.3,2.2,1.8,1.3,,,
Tom Van Arsdale,90.5,5.5,5.0,4.8,4.4,4.0,3.1,2.7,2.2,1.6,1.4,1.1,1.0,
Ben Poquette,90.3,5.4,5.0,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,,,
Danny Ferry,89.4,5.6,5.5,4.1,3.9,3.6,2.7,2.3,1.7,1.7,1.3,1.0,1.0,0.3
Ray Scott,89.1,5.5,5.3,4.5,3.5,3.4,3.0,2.5,2.5,2.4,1.3,0.9,,
Rod Higgins,88.4,5.9,5.7,5.3,5.0,3.8,3.7,2.5,2.0,1.4,1.3,1.0,0.1,0.0
John Johnson,87.8,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1,1.2,0.2,
