"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2016-17,21,CHI,NBA,PF,6.0,0.0,121.0,0.515,0.55,0.462,0.606,,0.606,0.0,0.394,113.0,109.0,129.0,118.0,,110.0,0.0,125.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,25,MIL,NBA,C,20.0,2.0,366.0,0.464,0.525,0.346,0.523,0.72,0.543,0.166,0.344,99.0,99.0,94.0,97.0,93.0,95.0,67.0,88.0,
2021-22,26,MIL,NBA,C,12.0,5.0,298.0,0.417,0.5,0.298,0.478,0.773,0.509,0.191,0.409,91.0,94.0,84.0,90.0,100.0,90.0,77.0,102.0,
2022-23,27,MIL,NBA,PF,5.0,2.0,107.0,0.488,0.652,0.278,0.549,1.0,0.567,0.073,0.439,103.0,119.0,77.0,101.0,128.0,98.0,27.0,113.0,
2023-24,28,MIL,NBA,PF,6.0,6.0,187.0,0.484,0.519,0.25,0.5,0.615,0.512,0.143,0.132,102.0,95.0,68.0,91.0,78.0,88.0,58.0,33.0,
2024-25,29,MIL,NBA,PF,5.0,1.0,158.0,0.441,0.5,0.357,0.515,0.0,0.511,0.015,0.412,94.0,92.0,99.0,95.0,0.0,89.0,6.0,98.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,54.0,16.0,1237.0,0.459,0.526,0.329,0.515,0.719,0.531,0.128,0.341,98.0,98.0,91.0,96.0,92.0,93.0,52.0,87.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MIL (5 Yrs),MIL (5 Yrs),MIL (5 Yrs),MIL (5 Yrs),,48.0,16.0,1116.0,0.455,0.524,0.318,0.509,0.719,0.526,0.137,0.337,97.0,97.0,88.0,94.0,92.0,92.0,55.0,84.0,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,6.0,0.0,121.0,0.515,0.55,0.462,0.606,,0.606,0.0,0.394,113.0,109.0,129.0,118.0,,110.0,0.0,125.0,
