"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Bobby Portis,,5.5,5.3,4.8,4.7,3.5,2.7,2.4,1.9,1.6,1.5
Tom Van Arsdale,92.7,5.5,5.0,4.8,4.4,4.0,3.1,2.7,2.2,1.4,1.0
Willie Naulls,92.4,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4
Rick Fox,91.2,5.3,5.2,5.1,5.1,3.2,3.2,2.8,2.3,2.1,1.8
Larry Nance Jr.,90.5,5.8,4.9,4.9,4.1,3.9,3.5,2.3,2.2,1.8,1.3
Ray Scott,90.5,5.5,5.3,4.5,3.5,3.4,3.0,2.5,2.5,2.4,1.3
Walt Williams,90.5,5.4,5.1,5.1,4.4,3.7,3.0,2.2,1.7,1.6,-0.7
Johnny Green,90.4,5.6,5.1,5.1,3.8,2.6,2.4,2.3,1.7,1.5,1.2
Ben Poquette,90.3,5.4,5.0,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6
John Johnson,90.1,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1
Antoine Carr,88.7,5.5,5.4,4.0,3.8,3.5,3.3,2.2,2.1,1.2,0.7
