"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Mitchell Robinson,,8.5,6.8,6.5,6.1,3.4,2.5,1.3
Tom Owens,92.1,8.3,8.0,6.9,6.0,2.9,2.5,0.9
Elmore Smith,90.9,8.7,6.8,5.9,4.7,3.9,2.9,1.5
Enes Freedom,90.7,8.1,7.5,6.4,5.8,2.3,2.2,1.7
Deandre Ayton,90.6,8.4,7.3,6.2,5.8,3.9,3.1,2.8
Ivica Zubac,88.7,7.2,6.9,6.7,6.6,3.2,1.1,1.0
Daniel Gafford,88.4,7.8,6.1,6.0,5.9,3.5,1.9,
Emeka Okafor,87.8,8.2,7.1,6.5,5.8,5.5,4.0,1.0
Ray Felix,87.0,8.6,7.2,5.8,5.5,5.5,2.0,0.8
Rik Smits,87.0,7.8,7.2,6.6,4.3,3.4,2.9,2.7
DeMarcus Cousins,86.0,7.9,7.6,6.0,5.7,4.4,4.2,1.1
