Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2018-19,20,NYK,NBA,C,66,19,1360,202,291,0.694,0,0,202,291,0.694,0.694,81,135,0.6,177,246,423,37,52,161,35,217,485,0,ROY-8
2019-20,21,NYK,NBA,C,61,7,1412,253,341,0.742,0,0,253,341,0.742,0.742,84,148,0.568,186,242,428,36,52,119,37,194,590,0,
2020-21,22,NYK,NBA,C,31,29,853,115,176,0.653,0,0,115,176,0.653,0.653,26,53,0.491,113,139,252,17,35,45,26,86,256,0,
2021-22,23,NYK,NBA,C,72,62,1848,261,343,0.761,0,0,261,343,0.761,0.761,88,181,0.486,295,322,617,38,58,133,60,195,610,0,
2022-23,24,NYK,NBA,C,59,58,1591,188,280,0.671,0,0,188,280,0.671,0.671,59,122,0.484,267,288,555,53,56,109,41,160,435,0,
2023-24,25,NYK,NBA,C,31,21,768,73,127,0.575,0,0,73,127,0.575,0.575,27,66,0.409,142,121,263,18,37,35,25,55,173,0,
2024-25,26,NYK,NBA,C,17,3,290,37,56,0.661,0,0,37,56,0.661,0.661,13,19,0.684,52,49,101,13,16,18,10,26,87,0,
2025-26,27,NYK,NBA,C,8,8,137,14,23,0.609,0,0,14,23,0.609,0.609,2,9,0.222,43,28,71,8,4,8,6,21,30,0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,345,207,8259,1143,1637,0.698,0,0,1143,1637,0.698,0.698,380,733,0.518,1275,1435,2710,220,310,628,240,954,2666,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,49,1963,272,389,0.698,0,0,272,389,0.698,0.698,90,174,0.518,303,341,644,52,74,149,57,227,634,0,
