"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 25_level_0', 'Awards')"
2016-17,21,GSW,NBA,C,4.0,0.0,21.0,0.429,7.3,1.0,0.286,0.429,0.286,0.0,0.0,0.429,1.0,0.333,0.0,0.667,0.143,1.0,0.0,0.0,
2017-18,22,GSW,NBA,C,4.0,0.0,11.0,0.5,7.5,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,
2018-19,23,GSW,NBA,C,4.0,1.0,8.0,1.0,1.9,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,28,CLE,NBA,C,2.0,0.0,9.0,,,,,,,,,,,,,,,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,14.0,1.0,49.0,0.5,5.6,1.0,0.4,0.3,0.3,0.0,0.0,0.5,1.0,0.333,0.0,0.8,0.1,1.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,6.0,287.0,0.5,,1.0,0.4,0.3,0.3,0.0,0.0,0.5,1.0,0.333,0.0,0.8,0.1,6.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
GSW (3 Yrs),GSW (3 Yrs),GSW (3 Yrs),GSW (3 Yrs),,12.0,1.0,40.0,0.5,5.6,1.0,0.4,0.3,0.3,0.0,0.0,0.5,1.0,0.333,0.0,0.8,0.1,1.0,0.0,0.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,2.0,0.0,9.0,,,,,,,,,,,,,,,0.0,0.0,0.0,
