"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Jason Maxiell,,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,
J.J. Hickson,88.0,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,,,
T.J. Warren,85.0,6.5,4.1,3.4,2.2,2.1,1.2,1.1,0.2,0.1,,
Glen Davis,84.4,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,
Derek Strong,83.2,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0.0,
Tony Campbell,81.4,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
AndrÃ©s Nocioni,81.3,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,,,
Kyle O'Quinn,81.3,4.8,3.9,2.5,1.6,1.6,1.4,1.1,1.0,,,
Dario Å ariÄ,81.3,6.6,3.6,3.5,2.8,1.7,1.7,1.0,0.0,,,
Josh McRoberts,81.1,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.3,0.1,0.0
Pervis Ellison,80.8,6.9,4.0,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0.0,0.0
