"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jared Cunningham,,0.1,0.1,0.0,0.0,
Awvee Storey,57.7,0.2,0.1,0.0,,
Mike Price,42.6,0.2,0.2,0.1,,
R.J. Hunter,36.4,0.3,0.1,0.0,0.0,
Ira Bowman,35.4,0.1,0.1,0.0,,
Jarell Eddie,30.6,0.1,0.1,0.0,,
David Duke Jr.,26.9,0.3,0.1,0.0,-0.1,
Devon Dotson,26.8,0.2,0.1,0.0,,
Jimmy Oliver,23.9,0.2,0.2,0.0,0.0,-0.1
Axel Toupane,23.4,0.3,0.1,0.1,,
Jay Arnette,19.8,0.1,0.1,-0.1,,
