"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Marcus Thornton,,4.0,3.8,3.5,3.2,2.0,1.7,1.2,0.5
MickaÃ«l PiÃ©trus,89.9,3.6,3.6,3.0,2.8,2.1,1.5,1.3,0.6
Darrell Griffith,89.2,3.9,3.5,3.5,2.8,2.5,2.1,0.8,0.4
Jordan Clarkson,88.2,4.2,3.5,3.4,3.0,2.4,2.1,1.8,1.2
Gerald Henderson,87.4,3.6,3.6,3.3,2.4,2.0,2.0,1.0,0.4
Randy Foye,87.2,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1
Alex Caruso,87.0,4.9,3.9,3.6,2.4,2.3,2.0,1.0,0.5
Bill Hanzlik,87.0,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1.0
C.J. Watson,86.8,4.0,3.8,3.3,3.2,3.1,2.6,2.1,0.4
Kelvin Ransey,86.2,3.8,3.7,3.4,2.8,2.2,2.0,,
Carlos Delfino,86.1,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5
