"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Michael Porter Jr.,,6.9,6.4,6.2,4.3,2.9,-0.2,,,,
Reggie Williams,87.6,6.6,5.9,5.8,4.8,3.3,0.4,0.3,0.1,0.0,-1.1
Julian Hammond,86.4,6.7,6.6,5.7,5.1,0.8,,,,,
Chandler Parsons,86.1,7.6,7.0,5.5,4.3,3.4,1.1,0.2,0.0,-0.1,
Sonny Parker,85.1,7.0,6.8,6.2,3.0,2.3,1.6,,,,
Onyeka Okongwu,84.7,7.2,7.1,4.5,4.2,1.9,,,,,
John Shumate,83.4,7.7,6.5,6.3,3.5,0.5,,,,,
Gene Banks,81.0,7.9,6.2,5.6,4.3,3.6,3.5,,,,
Curtis Perry,81.0,7.6,6.0,5.3,4.8,2.8,1.7,1.3,0.2,,
Isaiah Hartenstein,80.9,8.1,6.8,5.5,4.6,1.6,1.1,0.5,,,
Fred Schaus,80.5,8.5,8.4,6.8,4.0,3.7,,,,,
