"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Markelle Fultz,,3.7,2.7,1.3,0.4,0.3,0.2,-0.1,-0.1
Jim Les,91.0,3.6,2.3,1.3,0.3,0.3,0.2,0.1,
Roger Phegley,84.2,3.7,2.6,1.6,0.8,0.0,-0.1,,
Ron Sobie,81.3,3.6,2.6,0.9,0.1,,,,
Khalid Reeves,80.0,3.5,2.5,1.2,1.1,0.1,0.0,,
Ron Lee,79.1,3.8,2.8,1.6,1.4,0.8,0.3,,
Ben McLemore,78.9,3.3,2.5,0.8,0.5,0.4,0.3,0.2,0.2
Shammond Williams,78.6,3.1,2.9,1.2,1.0,0.5,0.2,0.0,
Terry Furlow,78.3,3.3,2.8,1.1,0.0,,,,
Moses Moody,77.8,3.5,2.4,1.3,1.3,,,,
Jerian Grant,77.6,3.3,2.5,1.7,0.8,0.0,,,
