Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2019-20,23,IND,NBA,PF,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-21,24,BRK,NBA,PF,5.0,0.0,4.6,0.8,1.4,0.571,0.0,0.0,0.8,1.4,0.571,0.571,0.0,0.0,0.6,2.0,2.6,0.0,0.6,0.0,0.6,0.2,1.6,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,6.0,0.0,3.8,0.7,1.2,0.571,0.0,0.0,0.7,1.2,0.571,0.571,0.0,0.0,0.5,1.7,2.2,0.0,0.5,0.0,0.5,0.2,1.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,5.0,0.0,4.6,0.8,1.4,0.571,0.0,0.0,0.8,1.4,0.571,0.571,0.0,0.0,0.6,2.0,2.6,0.0,0.6,0.0,0.6,0.2,1.6,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
