Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2019-20,23,IND,NBA,PF,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-21,24,BRK,NBA,PF,5.0,0.0,23.0,6.3,11.0,0.571,0.0,0.0,6.3,11.0,0.571,0.571,0.0,0.0,4.7,15.7,20.3,0.0,4.7,0.0,4.7,1.6,12.5,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,6.0,0.0,23.0,6.3,11.0,0.571,0.0,0.0,6.3,11.0,0.571,0.571,0.0,0.0,4.7,15.7,20.3,0.0,4.7,0.0,4.7,1.6,12.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,5.0,0.0,23.0,6.3,11.0,0.571,0.0,0.0,6.3,11.0,0.571,0.571,0.0,0.0,4.7,15.7,20.3,0.0,4.7,0.0,4.7,1.6,12.5,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
