"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Edmond Sumner,,1.4,1.3,0.4,0.1,0.0,
Richie Regan,82.8,1.6,1.5,0.4,,,
Norris Cole,82.4,1.4,1.2,0.6,0.0,-0.1,-0.1
Sidney Lowe,79.9,1.7,1.5,0.5,0.3,,
Jimmy O'Brien,78.8,1.4,1.4,1.0,0.2,,
Steve Harris,76.8,1.3,1.2,0.8,0.0,-0.1,
Richie Frahm,76.1,1.5,1.0,0.5,-0.2,,
Jared Butler,75.5,1.4,0.6,0.4,0.1,,
Isaiah Canaan,75.1,1.4,1.4,0.6,0.5,0.2,0.1
Steve Alford,74.7,1.4,0.9,0.6,0.3,,
Damyean Dotson,74.7,1.5,0.9,0.6,0.0,0.0,
