"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Patrick Baldwin Jr.,,0.2,0.2,0.1
Anthony Roberson,88.3,0.2,0.2,0.1
Randy Woods,84.7,0.3,0.2,0.1
Drew Barry,81.2,0.3,0.2,0.1
Archie Goodwin,77.1,0.2,0.2,0.1
Morlon Wiley,75.7,0.2,0.1,0.1
Jeff McInnis,74.5,0.3,0.2,0.1
Mason Jones,69.8,0.2,0.2,0.0
Mike Price,69.2,0.2,0.2,0.1
Xavier Henry,68.8,0.2,0.2,0.0
Lance Blanks,68.1,0.4,0.2,0.1
