Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2004-05,23,PHI,NBA,C,5.0,5.0,192.0,26.0,47.0,0.553,0.0,0.0,26.0,47.0,0.553,0.553,6.0,15.0,0.4,18.0,46.0,64.0,2.0,2.0,7.0,9.0,19.0,58.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,26,PHI,NBA,C,6.0,6.0,193.0,19.0,45.0,0.422,0.0,0.0,19.0,45.0,0.422,0.422,16.0,19.0,0.842,20.0,37.0,57.0,3.0,2.0,10.0,10.0,17.0,54.0,0.0,
2008-09,27,PHI,NBA,C,6.0,6.0,133.0,16.0,25.0,0.64,0.0,0.0,16.0,25.0,0.64,0.64,3.0,4.0,0.75,10.0,37.0,47.0,3.0,2.0,9.0,6.0,24.0,35.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,31,MIL,NBA,C,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,3.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,
2013-14,32,DAL,NBA,C,7.0,7.0,135.0,11.0,24.0,0.458,0.0,0.0,11.0,24.0,0.458,0.458,10.0,15.0,0.667,23.0,36.0,59.0,0.0,2.0,10.0,4.0,15.0,32.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,25.0,24.0,662.0,72.0,143.0,0.503,0.0,0.0,72.0,143.0,0.503,0.503,36.0,57.0,0.632,72.0,158.0,230.0,8.0,9.0,36.0,31.0,78.0,180.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,79.0,2171.0,236.0,469.0,0.503,0.0,0.0,236.0,469.0,0.503,0.503,118.0,187.0,0.632,236.0,518.0,754.0,26.0,30.0,118.0,102.0,256.0,590.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),,17.0,17.0,518.0,61.0,117.0,0.521,0.0,0.0,61.0,117.0,0.521,0.521,25.0,38.0,0.658,48.0,120.0,168.0,8.0,6.0,26.0,25.0,60.0,147.0,0.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,7.0,7.0,135.0,11.0,24.0,0.458,0.0,0.0,11.0,24.0,0.458,0.458,10.0,15.0,0.667,23.0,36.0,59.0,0.0,2.0,10.0,4.0,15.0,32.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,3.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,
