"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Boris Diaw,,8.9,6.2,4.9,4.8,4.7,4.6,4.4,3.8,3.6,3.0,1.1,0.8,0.6,0.1
Orlando Woolridge,91.0,9.0,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,
Mike Dunleavy,90.8,8.5,6.5,5.2,5.1,4.9,4.5,4.4,4.4,4.2,4.1,2.3,1.5,0.9,0.5
James Posey,89.4,10.0,6.2,5.4,5.2,4.3,4.2,4.2,3.8,2.7,2.4,2.3,1.0,,
Kurt Thomas,89.0,8.2,6.5,5.4,5.2,5.2,5.0,4.5,4.1,3.8,3.3,2.9,2.5,0.5,-0.2
Clarence Weatherspoon,88.0,8.6,6.0,5.8,5.5,5.1,5.0,4.5,4.0,3.6,3.5,3.3,2.6,1.1,
Jeff Foster,87.3,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4,
Amir Johnson,87.3,7.3,6.3,5.9,5.6,5.1,5.0,4.5,4.1,4.0,3.0,2.7,1.1,0.5,0.2
Ersan Ä°lyasova,87.0,6.7,6.4,5.8,4.4,4.1,4.0,4.0,3.8,3.6,3.0,1.6,1.0,0.4,
Juwan Howard,86.9,7.0,6.0,5.6,4.9,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,1.9,0.1
Josh Smith,86.7,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0.0,0.0,
