"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Ramon Sessions,,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.9,0.7,0.3,,
Rory Sparrow,93.0,5.6,4.3,4.2,4.2,3.7,2.8,1.6,1.0,0.7,0.5,-0.1,-0.4,
Bob Weiss,91.4,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0.0,
Don Ohl,90.7,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8,,,
Tyreke Evans,89.7,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3,,,
Pooh Richardson,89.2,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2,-0.1,,,
Earl Boykins,88.4,6.0,4.5,4.1,3.5,2.9,2.3,1.0,1.0,0.8,0.3,0.1,0.0,-0.3
Delon Wright,88.4,4.5,4.4,4.3,4.3,3.7,3.6,1.7,1.1,0.7,0.6,,,
Will Barton,87.1,6.2,4.3,4.2,3.3,3.2,2.2,1.3,1.2,0.6,0.4,-0.5,,
Ricky Davis,86.4,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2,0.1,-0.4,
Allen Leavell,86.1,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1,,,
