"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Furkan Korkmaz,,2.8,2.0,1.2,1.1,0.4,0.1,0.0
Mike Barr,85.8,2.7,1.7,1.4,0.7,0.4,,
Hollis Thompson,85.4,2.6,2.0,1.2,0.7,,,
Jevon Carter,82.2,3.5,1.8,1.6,1.2,0.3,0.2,0.0
Bucky Bockhorn,82.0,3.1,1.5,1.3,1.1,0.5,0.3,0.1
Troy Brown Jr.,81.5,2.9,2.4,1.4,0.8,0.6,0.5,
Jordan Crawford,81.5,2.8,1.9,1.1,0.9,0.2,-0.6,
Greg Minor,81.0,3.0,2.1,1.7,0.8,0.6,,
Shammond Williams,81.0,3.1,2.9,1.2,1.0,0.5,0.2,0.0
Claude Terry,80.0,2.4,1.8,1.0,1.0,0.8,0.0,
Yogi Ferrell,79.9,3.0,1.9,1.8,0.7,0.3,,
