Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2005-06,23,IND,NBA,C,6,0,5.2,0.5,1.5,0.333,0.0,0.0,0.5,1.5,0.333,0.333,1.2,2.0,0.583,0.2,0.7,0.8,0.0,0.2,0.2,0.7,1.8,2.2,
1 Yr,1 Yr,1 Yr,1 Yr,,6,0,5.2,0.5,1.5,0.333,0.0,0.0,0.5,1.5,0.333,0.333,1.2,2.0,0.583,0.2,0.7,0.8,0.0,0.2,0.2,0.7,1.8,2.2,
