Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2005-06,23,IND,NBA,C,6,0,31,3,9,0.333,0,0,3,9,0.333,0.333,7,12,0.583,1,4,5,0,1,1,4,11,13,0,
1 Yr,1 Yr,1 Yr,1 Yr,,6,0,31,3,9,0.333,0,0,3,9,0.333,0.333,7,12,0.583,1,4,5,0,1,1,4,11,13,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,424,41,123,0.333,0,0,41,123,0.333,0.333,96,164,0.583,14,55,68,0,14,14,55,150,178,0,
