"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
David Harrison,,1.5,1.4,0.4,-0.2
Paul Mokeski,80.7,1.7,1.4,0.8,-0.1
Earl Williams,77.7,1.3,1.0,0.4,0.0
Clifford Rozier,75.7,1.6,1.3,1.1,-0.1
Jelani McCoy,74.1,1.5,1.4,1.1,0.1
Eric Leckner,71.5,1.7,1.5,0.9,0.2
Adonal Foyle,70.7,1.9,1.1,0.7,-0.1
Walt Wesley,69.5,1.7,1.2,0.7,-0.4
James Wiseman,69.3,2.1,1.4,0.7,0.0
Johan Petro,69.1,1.7,1.0,0.4,0.2
Robert Sacre,69.0,1.4,0.8,0.3,-0.1
