Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2002-03,23,MEM,NBA,SF,1,0,6,2,3,0.667,0,0,2,3,0.667,0.667,0,0,1,0,1,0,0,0,1,0,4,0,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,6,2,3,0.667,0,0,2,3,0.667,0.667,0,0,1,0,1,0,0,0,1,0,4,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,492,164,246,0.667,0,0,164,246,0.667,0.667,0,0,82,0,82,0,0,0,82,0,328,0,
