"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Josh Huestis,,0.5,0.2,0.0,
Anthony Frederick,94.4,0.5,0.2,0.0,
Jarrell Brantley,89.5,0.5,0.1,0.0,
Ken Durrett,88.8,0.5,0.1,0.0,0.0
Kelan Martin,80.1,0.4,0.2,0.0,
Pape Sow,78.2,0.6,0.2,0.1,
Jarnell Stokes,77.8,0.5,0.1,0.1,
Devontae Cacok,76.8,0.5,0.3,0.0,
Gene James,75.0,0.5,0.3,0.1,
Okaro White,71.0,0.6,0.2,0.0,
Norvel Pelle,70.0,0.3,0.2,0.0,
