Date,Team,Unnamed: 2,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2025-11-19,PHI,,TOR,"L, 112-121",*,34,5,9,0.556,0,1,0.0,0,0,,4,8,12,0,2,1,3,3,10,9.4,-4
2025-11-17,PHI,,LAC,"W, 110-108",*,38,5,8,0.625,1,2,0.5,3,4,0.75,5,13,18,0,1,0,1,1,14,17.0,2
2025-11-14,PHI,@,DET,"L, 105-114",*,36,5,6,0.833,2,2,1.0,0,0,,4,7,11,2,1,0,3,4,12,12.5,4
2025-11-11,PHI,,BOS,"W, 102-100",*,33,6,11,0.545,0,2,0.0,2,3,0.667,4,9,13,0,0,1,0,1,14,14.1,10
2025-11-09,PHI,,DET,"L, 108-111",*,35,6,9,0.667,2,4,0.5,3,4,0.75,3,9,12,2,1,1,0,3,17,19.4,-11
