Season,Team,Lg,Salary
2012-13,Detroit Pistons,NBA,"$2,356,320"
2013-14,Detroit Pistons,NBA,"$2,462,400"
2014-15,Detroit Pistons,NBA,"$2,568,360"
2015-16,Detroit Pistons,NBA,"$3,272,091"
2016-17,Detroit Pistons,NBA,"$22,116,750"
2017-18,Detroit Pistons,NBA,"$23,775,506"
2018-19,Detroit Pistons,NBA,"$25,434,263"
2019-20,Cleveland Cavaliers,NBA,"$27,093,019"
2020-21,Cleveland Cavaliers,NBA,"$27,957,238"
2020-21,Los Angeles Lakers,NBA,"$554,988"
2021-22,Brooklyn Nets,NBA,"$2,401,537"
2022-23,Chicago Bulls,NBA,"$3,200,000"
2023-24,Chicago Bulls,NBA,"$3,360,000"
2024-25,Philadelphia 76ers,NBA,"$5,000,000"
Career,(may be incomplete),,"$151,552,472"
