Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2024-25,20,HOU,NBA,PG,3,0,10,0.0,10.3,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,10.3,5.2,5.2,5.2,0.0,21,88,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,10,0.0,10.3,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,10.3,5.2,5.2,5.2,0.0,21,88,
