"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Carlos Boozer,,10.2,9.9,9.9,9.4,7.6,5.9,5.8,5.7,4.1,3.5,3.4,2.6,2.2
Lou Hudson,91.4,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8
David Lee,90.4,10.3,9.1,9.0,7.6,7.4,6.9,6.0,5.7,5.0,3.2,3.0,2.7,
Lamar Odom,89.5,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.2,0.7,0.3
Richard Jefferson,88.5,11.7,11.0,9.9,7.6,6.6,6.0,5.9,4.7,3.4,3.1,2.7,2.4,1.0
Chris Webber,88.5,11.0,10.7,9.3,8.6,8.3,7.8,6.9,4.4,4.0,3.6,3.4,1.9,1.1
Chris Mullin,88.3,12.2,10.8,10.6,10.2,7.6,7.1,5.2,5.1,4.9,4.7,4.0,2.9,1.7
Ben Wallace,88.3,11.6,10.6,10.2,10.1,8.5,8.2,7.0,5.6,3.8,3.6,3.6,2.9,-0.2
Billy Cunningham,87.2,11.9,10.3,10.0,9.0,8.3,6.8,6.4,6.1,5.0,3.5,1.2,,
Larry Johnson,87.1,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,,,
James Worthy,87.0,10.6,9.7,9.5,9.3,9.0,7.9,7.5,6.5,5.1,3.1,3.0,0.1,
