"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Jeff Taylor,,1.2,0.3,-0.2
Steve Mix,91.4,1.3,0.4,-0.3
Joe Ellis,89.6,1.3,0.4,-0.3
Å½arko Äabarkapa,81.9,1.3,0.3,-0.4
Glenn McDonald,81.0,1.1,0.2,-0.2
Monty Williams,80.8,1.2,0.3,-0.1
Corey Brewer,77.7,1.0,0.3,-0.2
Tony Campbell,76.5,1.4,0.4,-0.3
Roy Rogers,76.0,1.4,0.4,-0.1
Tom Workman,73.9,1.3,0.4,0.1
Randolph Keys,73.1,1.0,0.3,-0.2
