Season,Team,Lg,Salary
2013-14,Oklahoma City Thunder,NBA,"$2,090,880"
2014-15,Oklahoma City Thunder,NBA,"$2,184,960"
2015-16,Oklahoma City Thunder,NBA,"$2,279,040"
2016-17,Oklahoma City Thunder,NBA,"$3,140,517"
2017-18,Oklahoma City Thunder,NBA,"$22,471,910"
2018-19,Oklahoma City Thunder,NBA,"$24,157,304"
2019-20,Oklahoma City Thunder,NBA,"$25,842,697"
2020-21,New Orleans Pelicans,NBA,"$29,592,695"
2021-22,Memphis Grizzlies,NBA,"$17,073,171"
2022-23,Memphis Grizzlies,NBA,"$17,926,829"
2023-24,Houston Rockets,NBA,"$12,600,000"
2024-25,Houston Rockets,NBA,"$12,600,000"
Career,(may be incomplete),,"$171,960,003"
