Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2000-01,21,PHO,NBA,C,4.0,4.0,75.0,6.0,16.0,0.375,0.0,0.0,6.0,16.0,0.375,0.375,0.0,0.0,,10.0,18.0,28.0,0.0,0.0,7.0,1.0,11.0,12.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04,24,MEM,NBA,C,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06,26,MEM,NBA,C,4.0,3.0,59.0,6.0,10.0,0.6,0.0,0.0,6.0,10.0,0.6,0.6,1.0,2.0,0.5,4.0,7.0,11.0,2.0,1.0,1.0,7.0,13.0,13.0,0.0,
2006-07,27,HOU,NBA,C,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,10.0,7.0,140.0,12.0,26.0,0.462,0.0,0.0,12.0,26.0,0.462,0.462,5.0,6.0,0.833,15.0,28.0,43.0,2.0,1.0,8.0,11.0,24.0,29.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,57.0,1148.0,98.0,213.0,0.462,0.0,0.0,98.0,213.0,0.462,0.462,41.0,49.0,0.833,123.0,230.0,353.0,16.0,8.0,66.0,90.0,197.0,238.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,5.0,3.0,62.0,6.0,10.0,0.6,0.0,0.0,6.0,10.0,0.6,0.6,3.0,4.0,0.75,4.0,7.0,11.0,2.0,1.0,1.0,10.0,13.0,15.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,4.0,4.0,75.0,6.0,16.0,0.375,0.0,0.0,6.0,16.0,0.375,0.375,0.0,0.0,,10.0,18.0,28.0,0.0,0.0,7.0,1.0,11.0,12.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
