"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2000-01,21,PHO,NBA,C,4.0,4.0,75.0,0.375,0.375,0.375,,0.375,0.0,0.0,85.0,81.0,79.0,,72.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2003-04,24,MEM,NBA,C,1.0,0.0,3.0,,,,1.0,1.136,,,,,,133.0,220.0,,,
,,,,,,,,,,,,,,,,,,,,,,
2005-06,26,MEM,NBA,C,4.0,3.0,59.0,0.6,0.6,0.6,0.5,0.597,0.2,0.0,132.0,126.0,122.0,67.0,112.0,60.0,0.0,
2006-07,27,HOU,NBA,C,1.0,0.0,3.0,,,,1.0,1.136,,,,,,133.0,210.0,,,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,10.0,7.0,140.0,0.462,0.462,0.462,0.833,0.506,0.231,0.0,103.0,98.0,96.0,111.0,96.0,23.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,5.0,3.0,62.0,0.6,0.6,0.6,0.75,0.638,0.4,0.0,134.0,126.0,122.0,100.0,120.0,60.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,4.0,4.0,75.0,0.375,0.375,0.375,,0.375,0.0,0.0,85.0,81.0,79.0,,72.0,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,1.0,0.0,3.0,,,,1.0,1.136,,,,,,133.0,210.0,,,
