Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2011-12,21,ORL,NBA,PF,4,0,9,0,0,0,0,0,0,4,4,1.0,0,2,2,0,0,0,0,3,4,0,
1 Yr,1 Yr,1 Yr,1 Yr,,4,0,9,0,0,0,0,0,0,4,4,1.0,0,2,2,0,0,0,0,3,4,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,185,0,0,0,0,0,0,82,82,1.0,0,41,41,0,0,0,0,62,82,0,
