"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Collin Sexton,,5.5,3.5,2.5,2.5,2.4,-0.1,-0.6
Zach LaVine,87.3,5.9,4.0,3.0,2.8,2.6,0.3,-0.7
Deni Avdija,84.9,5.6,3.2,2.4,2.3,1.2,,
Avery Bradley,84.7,4.8,3.1,2.5,2.4,1.8,0.4,-0.5
Rodney Hood,83.3,6.0,2.7,2.6,2.6,2.2,1.1,-0.4
Steve Blake,80.9,5.8,3.8,3.3,2.8,2.1,0.7,0.3
Alex Caruso,80.9,4.9,3.6,2.4,2.3,2.0,1.0,0.5
Jim McElroy,80.9,4.9,3.5,2.9,2.6,0.8,0.3,-0.9
Mitchell Wiggins,80.8,5.4,3.5,3.3,2.0,1.2,-0.1,
Chico Vaughn,80.5,4.9,3.4,3.4,2.3,2.3,0.8,0.4
Sedale Threatt,80.3,4.6,3.4,2.7,2.5,2.1,1.3,0.1
