Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2013-14,23,WAS,NBA,PG,11.0,11.0,420.0,14.1,0.462,0.195,0.415,1.4,10.8,6.1,32.7,2.3,1.6,15.7,25.9,-0.2,0.8,0.6,0.067,0.9,0.0,1.0,0.3,
2014-15,24,WAS,NBA,PG,7.0,7.0,273.0,19.2,0.48,0.155,0.355,2.1,10.8,6.6,49.7,1.9,2.9,17.5,25.0,0.4,0.4,0.8,0.138,2.6,1.8,4.4,0.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,26,WAS,NBA,PG,13.0,13.0,507.0,23.0,0.548,0.217,0.331,1.6,9.4,5.5,45.7,2.2,2.7,14.6,32.1,0.9,0.5,1.4,0.136,6.2,-0.4,5.7,1.0,
2017-18,27,WAS,NBA,PG,6.0,6.0,234.0,24.2,0.528,0.165,0.37,1.5,15.8,8.7,50.2,3.0,2.9,15.5,32.9,0.4,0.2,0.6,0.125,4.8,1.9,6.7,0.5,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,37.0,37.0,1434.0,19.9,0.512,0.192,0.362,1.6,11.1,6.4,43.4,2.3,2.4,15.5,29.0,1.4,2.0,3.4,0.114,3.7,0.5,4.2,2.3,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,3178.0,19.9,0.512,0.192,0.362,1.6,11.1,6.4,43.4,2.3,2.4,15.5,29.0,3.2,4.4,7.6,0.114,3.7,0.5,4.2,5.0,
