"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2007-08,22,CHI,NBA,C,74.0,31.0,1534.0,0.482,2.8,0.997,0.744,0.161,0.022,0.071,0.003,0.484,0.564,0.288,0.25,0.154,0.0,0.571,0.18,59.0,0.0,,0.0,0.0,
2008-09,23,CHI,NBA,C,80.0,55.0,1938.0,0.556,1.0,0.997,0.895,0.086,0.011,0.005,0.003,0.558,0.583,0.313,0.75,0.0,0.0,0.589,0.25,88.0,0.0,,1.0,0.0,
2009-10,24,CHI,NBA,C,64.0,54.0,1925.0,0.504,4.0,1.0,0.66,0.165,0.062,0.113,0.0,0.504,0.574,0.314,0.438,0.407,,0.557,0.158,72.0,,,0.0,0.0,
2010-11,25,CHI,NBA,C,48.0,48.0,1576.0,0.525,4.8,0.998,0.6,0.256,0.035,0.107,0.002,0.526,0.614,0.408,0.429,0.349,0.0,0.573,0.162,58.0,0.0,,0.0,0.0,"DPOY-15,DEF2"
2011-12,26,CHI,NBA,C,64.0,64.0,1945.0,0.508,5.1,0.998,0.633,0.178,0.065,0.122,0.002,0.509,0.587,0.345,0.281,0.467,0.0,0.639,0.141,64.0,0.0,,0.0,0.0,DPOY-11
2012-13,27,CHI,NBA,C,66.0,64.0,2426.0,0.481,6.3,0.992,0.567,0.189,0.057,0.179,0.008,0.485,0.585,0.303,0.444,0.372,0.0,0.64,0.119,65.0,0.0,,0.0,0.0,"MVP-12,DPOY-4,AS,DEF1"
2013-14,28,CHI,NBA,C,80.0,80.0,2820.0,0.475,6.3,0.998,0.516,0.258,0.041,0.183,0.003,0.476,0.581,0.345,0.333,0.397,0.0,0.637,0.07,52.0,0.5,0.0,1.0,0.0,"MVP-4,DPOY-1,AS,NBA1,DEF1"
2014-15,29,CHI,NBA,C,67.0,67.0,2049.0,0.445,5.4,0.995,0.621,0.176,0.019,0.18,0.005,0.447,0.506,0.36,0.5,0.325,0.0,0.637,0.063,25.0,0.0,,2.0,0.0,DPOY-12
2015-16,30,CHI,NBA,C,29.0,2.0,635.0,0.383,2.9,0.992,0.737,0.195,0.015,0.045,0.008,0.386,0.439,0.192,0.5,0.333,0.0,0.588,0.075,9.0,0.0,,0.0,0.0,
2016-17,31,NYK,NBA,C,46.0,46.0,1015.0,0.49,2.0,0.995,0.881,0.089,0.0,0.015,0.005,0.493,0.534,0.222,,0.0,0.0,0.495,0.084,16.0,0.0,,0.0,0.0,
2017-18,32,NYK,NBA,C,7.0,0.0,40.0,0.5,2.8,1.0,0.4,0.6,0.0,0.0,0.0,0.5,0.25,0.667,,,,0.4,0.1,1.0,,,0.0,0.0,
2018-19,33,MEM,NBA,C,42.0,1.0,693.0,0.516,3.9,0.995,0.695,0.211,0.019,0.07,0.005,0.519,0.622,0.311,0.0,0.267,0.0,0.736,0.211,41.0,0.0,,1.0,0.0,
2019-20,34,LAC,NBA,C,5.0,0.0,50.0,0.5,2.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,,,,1.0,0.0,0.0,,,0.0,0.0,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,672.0,512.0,18646.0,0.491,3.8,0.997,0.649,0.189,0.038,0.12,0.003,0.493,0.57,0.334,0.382,0.367,0.0,0.61,0.132,550.0,0.063,0.0,5.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,62.0,2275.0,0.491,3.8,0.997,0.649,0.189,0.038,0.12,0.003,0.493,0.57,0.334,0.382,0.367,0.0,0.61,0.132,67.0,0.063,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (9 Yrs),CHI (9 Yrs),CHI (9 Yrs),CHI (9 Yrs),,572.0,465.0,16848.0,0.49,4.3,0.997,0.636,0.191,0.041,0.128,0.003,0.492,0.57,0.334,0.391,0.372,0.0,0.609,0.131,492.0,0.071,0.0,4.0,0.0,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,53.0,46.0,1055.0,0.491,2.4,0.995,0.858,0.113,0.0,0.014,0.005,0.493,0.527,0.333,,0.0,0.0,0.49,0.085,17.0,0.0,,0.0,0.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,42.0,1.0,693.0,0.516,3.9,0.995,0.695,0.211,0.019,0.07,0.005,0.519,0.622,0.311,0.0,0.267,0.0,0.736,0.211,41.0,0.0,,1.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,5.0,0.0,50.0,0.5,2.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,,,,1.0,0.0,0.0,,,0.0,0.0,
