Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2022-23,25.0,SAC,NBA,PG,1,0,9:16,0,1,0.0,0,0,,0,0,,0,0,2,0,0,0,0,0
Career,,,NBA,,1,0,9,0,1,0.0,0,0,,0,0,,0,0,2,0,0,0,0,0
