"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
C.J. Wilcox,,0.3,0.0,-0.2
Jared Harper,3.8,0.4,0.0,-0.1
Xavier Moon,-9.7,0.3,0.0,-0.1
Rich Rinaldi,-11.3,0.4,0.0,-0.2
Nate Hinton,-15.7,0.3,0.0,-0.1
Josh Christopher,-21.5,0.3,0.0,-0.1
Darrun Hilliard,-24.8,0.5,0.0,-0.2
Michael Phelps,-25.4,0.3,0.1,-0.1
Brad Holland,-30.2,0.3,0.1,-0.1
Carsen Edwards,-30.5,0.3,0.1,-0.1
Elijah Millsap,-31.7,0.4,0.1,-0.1
