"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2023-24,19,BOS,NBA,SF,9,1,83,0.4,16.1,0.4,0.267,0.133,0.0,0.0,0.6,0.667,0.75,0.5,,0.222,0.75,1.0,0.333,4,0.444,0.0,0,0,
2024-25,20,BOS,NBA,PF,52,1,403,0.361,17.7,0.337,0.193,0.145,0.0,0.0,0.663,0.536,0.688,0.333,,0.273,0.467,1.0,0.084,4,0.418,0.217,0,0,
2025-26,21,BOS,NBA,PF,16,8,319,0.485,11.7,0.591,0.424,0.152,0.015,0.0,0.409,0.564,0.679,0.3,0.0,0.37,0.682,1.0,0.197,9,0.333,0.333,0,0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,77,10,805,0.415,15.2,0.445,0.293,0.146,0.006,0.0,0.555,0.562,0.688,0.333,0.0,0.297,0.61,1.0,0.152,17,0.396,0.222,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,11,857,0.415,15.2,0.445,0.293,0.146,0.006,0.0,0.555,0.562,0.688,0.333,0.0,0.297,0.61,1.0,0.152,18,0.396,0.222,0,0,
