"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Darnell Jackson,,0.8,0.7,-0.3
Jay Miller,88.3,0.9,0.7,-0.3
Antonio Lang,86.9,0.8,0.7,-0.1
Isaiah Livers,77.6,1.0,0.7,-0.1
Luke Babbitt,76.6,0.7,0.7,-0.4
Darius Miller,72.7,0.8,0.5,-0.1
Michael Ruffin,68.4,1.0,0.6,0.0
Bob Thornton,68.4,0.9,0.4,-0.3
Dontonio Wingfield,66.4,0.9,0.9,0.0
Timoth̩ Luwawu-Cabarrot,66.2,0.8,0.8,0.2
Walt Piatkowski,66.1,1.2,0.8,-0.2
