"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Bam Adebayo,,8.8,8.5,7.5,7.4,7.2,7.2,6.8,4.2
Clifford Ray,94.0,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8
Mehmet Okur,92.1,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8
Alvan Adams,91.9,7.7,7.6,7.2,7.2,7.0,6.5,6.3,4.9
Jim Eakins,91.6,9.0,8.5,7.6,7.4,7.4,6.6,3.6,2.9
Jonas ValanÄiÅ«nas,91.0,8.2,7.9,7.6,7.0,6.9,6.7,4.2,3.9
Swen Nater,89.9,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1
Billy Paultz,88.7,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.0
Clyde Lovellette,88.4,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2
Vlade Divac,87.1,9.5,8.3,7.4,7.3,6.1,5.6,5.0,1.8
Joakim Noah,87.1,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8
