"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Bam Adebayo,,8.8,8.5,7.5,7.4,7.2,7.2,6.8,4.2,,,,,
Mehmet Okur,91.9,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8,0.2,0.0,,,
Clifford Ray,91.3,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9,-0.3,,,
Jim Eakins,88.0,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,,,
Swen Nater,87.2,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,
Marcin Gortat,83.5,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1,
Jarrett Allen,83.0,11.6,10.7,9.5,8.5,8.2,7.6,6.4,4.2,,,,,
Zydrunas Ilgauskas,81.8,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.9,2.5,2.5,0.7,0.5
Clyde Lovellette,81.8,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,,
Greg Monroe,81.2,7.5,7.0,6.8,6.6,5.9,5.9,5.6,3.4,1.1,0.7,,,
Joakim Noah,81.2,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1,0.1
