"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
OG Anunoby,,6.5,5.7,4.7,3.7,3.1,3.0,2.6,2.0,,,,
Kenny Carr,93.5,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0.0,,
Royce O'Neale,91.2,5.6,5.5,4.3,3.4,3.3,2.9,2.8,2.4,,,,
Dorian Finney-Smith,89.3,6.6,4.9,4.4,3.3,2.9,2.6,2.1,1.4,0.1,,,
Lauri Markkanen,88.8,8.2,6.2,5.0,3.3,3.0,2.7,2.6,2.2,,,,
Ruben Patterson,88.2,6.7,5.6,5.5,5.4,3.4,3.2,3.0,2.1,0.2,0.1,,
Darnell Hillman,87.5,6.2,4.4,4.2,3.8,3.3,3.2,3.2,2.6,0.3,,,
Phil Hubbard,87.4,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,,
DeMarre Carroll,86.5,7.0,5.8,4.1,3.8,3.1,3.1,1.2,0.5,0.5,0.3,0.1,
George Lynch,86.3,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7,0.0
Kenny Thomas,86.2,6.6,5.5,4.6,4.4,4.3,2.2,2.2,1.2,0.4,0.1,-0.3,
