"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
2018-19,19.0,MISSST,34,596,73,156,12,44,29,50,47,139,25,18,17,22,38,187,0.468,0.273,0.58,17.5,5.5,4.1,0.7
2019-20,20.0,MISSST,31,1025,136,275,30,70,50,78,68,203,40,35,32,58,58,352,0.495,0.429,0.641,33.1,11.4,6.5,1.3
Career,,,65,1621,209,431,42,114,79,128,115,342,65,53,49,80,96,539,0.485,0.368,0.617,24.9,8.3,5.3,1.0
