"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Ãlex Abrines,,2.2,2.1,0.6,,,,
Maurice McHartley,88.8,2.4,1.8,0.8,,,,
Rodrigue Beaubois,87.3,2.2,2.0,0.4,0.2,,,
Tex Ritter,87.0,2.4,2.3,1.0,,,,
Chris Quinn,84.4,2.6,2.1,0.6,0.1,0.1,-0.2,
Nikola JoviÄ,82.2,2.5,1.9,0.2,,,,
Peyton Watson,80.6,2.5,2.5,0.3,,,,
Kenny Higgs,80.1,2.2,1.5,1.0,,,,
Travis Diener,79.9,2.5,1.9,0.7,0.6,0.0,,
Andrew Nembhard,78.2,2.8,2.0,1.2,,,,
James Robinson,78.2,2.3,1.9,1.2,0.2,0.2,0.0,-0.1
