"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Jordan Poole,,6.0,3.2,2.0,1.9,-0.6,-1.2,,
LaMelo Ball,74.7,5.8,2.8,2.0,1.8,1.1,,,
Ray Lumpp,71.8,6.7,3.3,2.0,1.9,1.7,,,
Deni Avdija,71.5,5.6,3.2,2.4,2.3,1.2,,,
Rudy FernÃ¡ndez,70.1,6.1,3.8,3.0,1.2,,,,
Aaron Wiggins,68.6,5.4,3.7,2.6,1.2,,,,
Al Skinner,68.5,4.9,3.3,2.1,1.8,1.2,0.0,,
Jalen Green,65.8,5.1,3.1,1.8,0.7,,,,
Tyler Johnson,65.5,5.8,4.2,2.3,2.0,0.8,0.7,0.7,0.1
Mitchell Wiggins,65.1,5.4,3.5,3.3,2.0,1.2,-0.1,,
Skeeter Swift,64.5,4.3,3.4,2.7,1.8,0.0,,,
